periodo,acceso_estructural,n_restricciones,restricciones_12m
2023-01,1.0,0,
2023-02,1.0,0,
2023-03,1.0,0,
2023-04,1.0,0,
2023-05,1.0,0,
2023-06,1.0,0,0.0
2023-07,1.0,0,0.0
2023-08,1.0,0,0.0
2023-09,1.0,2,2.0
2023-10,1.0,1,3.0
2023-11,1.0,0,3.0
2023-12,1.0,1,4.0
2024-01,1.0,1,5.0
2024-02,1.0,0,5.0
2024-03,1.0,2,7.0
2024-04,1.0,1,8.0
2024-05,1.0,2,10.0
2024-06,1.0,5,15.0
2024-07,1.0,3,18.0
2024-08,1.0,3,21.0
2024-09,1.0,3,22.0
2024-10,1.0,0,21.0
2024-11,1.0,1,22.0
2024-12,1.0,0,21.0
2025-01,1.0,1,21.0
2025-02,1.0,0,21.0
2025-03,1.0,5,24.0
2025-04,1.0,2,25.0
2025-05,1.0,1,24.0
2025-06,1.0,0,19.0
2025-07,1.0,4,20.0
2025-08,1.0,3,20.0
2025-09,1.0,5,22.0
2025-10,1.0,3,25.0
2025-11,1.0,1,25.0
2025-12,1.0,3,28.0
2026-01,1.0,0,27.0
2026-02,1.0,2,29.0
2026-03,1.0,2,26.0
2026-04,0.0,3,27.0
2026-05,1.0,7,33.0
2026-06,1.0,3,36.0
2026-07,1.0,1,33.0
2026-08,1.0,0,30.0
