periodo,share
2003-01,4.168e-05
2003-02,0.00107272
2003-03,0.00358473
2003-04,0.00138137
2003-05,0.00228662
2003-06,6.075e-05
2003-07,7.711e-05
2003-08,0.00142258
2003-09,0.0010105
2003-10,0.00150221
2003-11,0.00128644
2003-12,0.01666323
2004-01,0.00031772
2004-02,0.00030711
2004-03,0.00050312
2004-04,0.00022148
2004-05,0.00051963
2004-06,0.00043456
2004-07,0.00081246
2004-08,0.00113306
2004-09,0.00087449
2004-10,0.00116888
2004-11,0.00221627
2004-12,0.00148442
2005-01,0.00080745
2005-02,0.00137482
2005-03,0.00193791
2005-04,0.00158802
2005-05,0.00151891
2005-06,0.0003566
2005-07,0.00146243
2005-08,0.00166046
2005-09,0.00112222
2005-10,0.00080131
2005-11,0.00189008
2005-12,0.00410014
2006-01,2.473e-05
2006-02,3.431e-05
2006-03,0.0001662
2006-04,0.00015674
2006-05,0.00078358
2006-06,0.00050514
2006-07,0.0016215
2006-08,0.00193396
2006-09,0.00075352
2006-10,0.00117083
2006-11,0.00097223
2006-12,0.00086647
2007-01,0.00011886
2007-02,0.00143952
2007-03,0.00111732
2007-04,0.00124612
2007-05,0.00119297
2007-06,0.00148742
2007-07,0.00062601
2007-08,0.00051535
2007-09,6.723e-05
2007-10,0.00015912
2007-11,0.00300151
2007-12,0.00188733
2008-01,0.00115041
2008-02,0.00069477
2008-03,0.0003505
2008-04,0.0003479
2008-05,0.00146531
2008-06,0.00101546
2008-07,0.00104973
2008-08,0.00129482
2008-09,0.00041029
2008-10,0.00122329
2008-11,0.0013936
2008-12,0.0005402
2009-01,0.00288916
2009-02,0.00053764
2009-03,0.00057046
2009-04,0.00147925
2009-05,0.00198305
2009-06,0.00064072
2009-07,0.00089205
2009-08,0.00072677
2009-09,0.00036293
2009-10,0.00037701
2009-11,0.0007556
2009-12,0.00034706
2010-01,0.00094406
2010-02,0.00096987
2010-03,0.00062541
2010-04,0.00104448
2010-05,0.00037872
2010-06,0.00068848
2010-07,0.00403447
2010-08,0.00087831
2010-09,0.00102121
2010-10,0.00131515
2010-11,0.00055842
2010-12,0.00045334
2011-01,8.66e-05
