periodo,designacion_acuerdo,presidente
2023-01,0,Miguel Pesce
2023-02,0,Miguel Pesce
2023-03,0,Miguel Pesce
2023-04,0,Miguel Pesce
2023-05,0,Miguel Pesce
2023-06,0,Miguel Pesce
2023-07,0,Miguel Pesce
2023-08,0,Miguel Pesce
2023-09,0,Miguel Pesce
2023-10,0,Miguel Pesce
2023-11,0,Miguel Pesce
2023-12,0,Santiago Bausili
2024-01,0,Santiago Bausili
2024-02,0,Santiago Bausili
2024-03,0,Santiago Bausili
2024-04,0,Santiago Bausili
2024-05,0,Santiago Bausili
2024-06,0,Santiago Bausili
2024-07,0,Santiago Bausili
2024-08,0,Santiago Bausili
2024-09,0,Santiago Bausili
2024-10,0,Santiago Bausili
2024-11,0,Santiago Bausili
2024-12,0,Santiago Bausili
2025-01,0,Santiago Bausili
2025-02,0,Santiago Bausili
2025-03,0,Santiago Bausili
2025-04,0,Santiago Bausili
2025-05,0,Santiago Bausili
2025-06,0,Santiago Bausili
2025-07,0,Santiago Bausili
2025-08,0,Santiago Bausili
2025-09,0,Santiago Bausili
2025-10,0,Santiago Bausili
2025-11,0,Santiago Bausili
2025-12,0,Santiago Bausili
2026-01,0,Santiago Bausili
2026-02,0,Santiago Bausili
2026-03,0,Santiago Bausili
2026-04,0,Santiago Bausili
2026-05,0,Santiago Bausili
2026-06,0,Santiago Bausili
2026-07,0,Santiago Bausili
2026-08,0,Santiago Bausili
