periodo,financiamiento,adelantos,base_monetaria
1990-01,0.0,0,499801.0
1990-02,0.01999,11884,594490.0
1990-03,0.095054,88412,930126.0
1990-04,0.0,0,1229198.0
1990-05,0.0,0,1409982.0
1990-06,0.0,0,1820867.0
1990-07,0.0,0,1966004.0
1990-08,0.0,0,1976474.0
1990-09,0.0,0,2298607.0
1990-10,0.033095,83600,2526096.0
1990-11,0.051231,150665,2940912.0
1990-12,0.0,0,3617130.0
1991-01,0.021926,76987,3511157.0
1991-02,0.212805,878944,4130282.0
1991-03,0.177252,850725,4799521.0
1991-04,0.174755,857378,4906162.0
1991-05,0.151749,834334,5498102.0
1991-06,0.144182,809747,5616150.0
1991-07,0.134635,809747,6014394.0
1991-08,0.131878,809747,6140136.0
1991-09,0.123475,809747,6558007.0
1991-10,0.120382,809747,6726486.0
1991-11,0.111462,809747,7264750.0
1991-12,0.10351,809747,7822885.0
1992-01,0.099465,809747,8141049.0
1992-02,0.095777,809747,8454475.0
1992-03,0.1008,809747,8033189.0
1992-04,0.093498,809747,8660540.0
1992-05,0.086493,809747,9361984.0
1992-06,0.087282,809747,9277361.0
1992-07,0.080561,809747,10051407.0
1992-08,0.081391,809747,9948865.0
1992-09,0.085499,809700,9470300.0
1992-10,0.0,0,9931485.0
1992-11,0.0,0,9727541.0
1992-12,0.0,0,11010061.0
1993-01,0.0,0,11830995.0
1993-02,0.0,0,11586166.0
1993-03,0.0,0,10517159.0
1993-04,0.0,0,11866411.0
1993-05,0.0,0,11997927.0
1993-06,0.0,0,11728654.0
1993-07,0.0,0,13214501.0
1993-08,0.0,0,14564172.0
1993-09,0.0,0,13111244.0
1993-10,0.0,0,14203765.0
1993-11,0.0,0,14405784.0
1993-12,0.0,0,14989161.0
1994-01,0.0,0,16037952.0
1994-02,0.0,0,15994221.0
1994-03,0.0,0,14632679.0
1994-04,0.0,0,15163638.0
1994-05,0.0,0,15546232.0
1994-06,0.0,0,14219375.0
1994-07,0.0,0,16626762.0
1994-08,0.0,0,15556366.0
1994-09,0.0,0,14181015.0
1994-10,0.0,0,15253793.0
1994-11,0.0,0,14962242.0
1994-12,0.0,0,16069123.0
1995-01,0.0,0,11728282.94062
1995-02,0.0,0,11327706.18779
1995-03,0.0,0,10851195.33458
1995-04,0.0,0,11069476.40443
1995-05,0.0,0,10783923.93804
1995-06,0.0,0,11186907.80145
1995-07,0.0,0,11876548.24037
1995-08,0.0,0,11371254.50515
1995-09,0.0,0,11113508.24676
1995-10,0.0,0,11102176.80929
1995-11,0.0,0,11056082.11193
1995-12,0.0,0,13050012.0
1996-01,0.0,0,12208745.51632
1996-02,0.0,0,12093646.78099
1996-03,0.0,0,11959578.0
1996-04,0.0,0,12043003.0
1996-05,0.0,0,12184489.0
1996-06,0.0,0,12804115.0
1996-07,0.0,0,13220074.0
1996-08,0.0,0,12379145.0
1996-09,0.0,0,12221719.0
1996-10,0.0,0,11881123.0
1996-11,0.0,0,12061468.0
1996-12,0.0,0,14030363.0
1997-01,0.0,0,13194456.0
1997-02,0.0,0,13144134.0
1997-03,0.0,0,13370844.0
1997-04,0.0,0,13221558.0
1997-05,0.0,0,13440401.0
1997-06,0.0,0,14041230.0
1997-07,0.0,0,14525870.0
1997-08,0.0,0,14295031.0
1997-09,0.0,0,14192183.0
1997-10,0.0,0,14216303.0
1997-11,0.0,0,14185581.0
1997-12,0.0,0,15965670.0
1998-01,0.0,0,14714694.32463
1998-02,0.0,0,14574779.66418
1998-03,0.0,0,14484625.93905
1998-04,0.0,0,14697565.490360001
1998-05,0.0,0,14721485.10233
1998-06,0.0,0,15013179.95428
1998-07,0.0,0,15618517.07908
1998-08,0.0,0,15184028.14335
1998-09,0.0,0,14373817.0
1998-10,0.0,0,14320244.47292
1998-11,0.0,0,14493430.027479999
1998-12,0.0,0,16370167.0
1999-01,0.0,0,14966805.153649999
1999-02,0.0,0,14600133.95715
1999-03,0.0,0,14542339.082719998
1999-04,0.0,0,14271307.96057
1999-05,0.0,0,14157496.15143
1999-06,0.0,0,14084465.90521
1999-07,0.0,0,14731110.60326
1999-08,0.0,0,14304601.53903
1999-09,0.0,0,13938606.12825
1999-10,0.0,0,13921215.54696
1999-11,0.0,0,13869860.682120001
1999-12,0.0,0,16492773.517409999
2000-01,0.0,0,14588595.0
2000-02,0.0,0,13988871.58619
2000-03,0.0,0,13641941.124440001
2000-04,0.0,0,13904558.0645
2000-05,0.0,0,13529881.643059999
2000-06,0.0,0,13748837.22993
2000-07,0.0,0,14292449.981110001
2000-08,0.0,0,13636974.1447
2000-09,0.0,0,13567794.87489
2000-10,0.0,0,13355081.9573
2000-11,0.0,0,13329990.38402
2000-12,0.0,0,15054195.37193
2001-01,0.0,0,13845606.382280001
2001-02,0.0,0,13690019.0
2001-03,0.0,0,13554016.0
2001-04,0.0,0,13283899.0
2001-05,0.0,0,12978508.0
2001-06,0.0,0,14421018.0
2001-07,0.0,0,14359062.0
2001-08,0.0,0,12598038.0
2001-09,0.0,0,12271560.0
2001-10,0.0,0,11683826.0
2001-11,0.0,0,11017876.0
2001-12,0.0,0,11981250.0
2002-01,0.0,0,15353894.0
2002-02,0.01448,300000,20718799.0
2002-03,0.024436,500000,20461631.0
2002-04,0.032896,700000,21279044.0
2002-05,0.033683,700000,20782057.0
2002-06,0.034672,700000,20189280.0
2002-07,0.034113,700000,20519876.0
