periodo,letras_share,letras,activo_total
1990-01,0.632694,1361503.0,2151915.0
1990-02,1.365649,4228633.0,3096427.0
1990-03,0.641317,3312550.0,5165228.0
1990-04,0.439555,3557305.0,8092968.0
1990-05,0.400992,3557305.0,8871269.0
1990-06,0.374445,3739123.0,9985767.0
1990-07,0.353921,3943036.0,11141014.0
1990-08,0.377197,4440757.0,11773035.0
1990-09,0.303003,4088540.0,13493399.0
1990-10,0.262742,3962717.0,15082145.0
1990-11,0.229126,3676388.0,16045260.0
1990-12,0.210522,4007737.0,19037144.0
1991-01,0.342176,6640789.0,19407510.0
1991-02,0.342598,7149551.0,20868649.0
1991-03,0.304571,7599767.0,24952365.0
1991-04,0.305885,7818546.0,25560439.0
1991-05,0.301225,7959773.0,26424646.0
1991-06,0.29316,7964426.0,27167476.0
1991-07,0.289235,7941237.0,27456033.0
1991-08,0.289172,8278263.0,28627458.0
1991-09,0.282171,8362724.0,29637073.0
1991-10,0.275474,8248628.0,29943402.0
1991-11,0.266878,8207172.0,30752539.0
1991-12,0.283534,8270321.0,29168756.0
1992-01,0.286424,8390074.0,29292534.0
1992-02,0.286394,8430352.0,29436156.0
1992-03,0.279988,8486561.0,30310481.0
1992-04,0.275641,8477230.0,30754631.0
1992-05,0.267176,8435908.0,31574333.0
1992-06,0.267547,8440383.0,31547346.0
1992-07,0.261458,8439324.0,32277884.0
1992-08,0.256733,8316856.0,32394910.0
1992-09,0.264525,9134400.0,34531300.0
1992-10,0.222076,8082342.0,36394419.0
1992-11,0.215785,8056758.0,37336909.0
1992-12,0.199187,8234872.0,41342315.0
1993-01,0.218894,9177031.0,41924476.0
1993-02,0.215796,9139047.0,42350316.0
1993-03,0.212103,9039359.0,42617735.0
1993-04,0.218568,9331506.0,42693781.0
1993-05,0.218045,9334615.0,42810432.0
1993-06,0.213891,9223110.0,43120536.0
1993-07,0.215217,9582606.0,44525281.0
1993-08,0.208694,9654983.0,46263724.0
1993-09,0.213457,9707006.0,45475248.0
1993-10,0.211859,9685315.0,45715827.0
1993-11,0.224505,9821983.0,43749558.0
1993-12,0.221865,10116478.0,45597407.0
1994-01,0.219886,10004096.0,45496721.0
1994-02,0.226403,10317823.0,45572915.0
1994-03,0.230225,10325069.0,44847670.0
1994-04,0.233253,10357873.0,44406265.0
1994-05,0.230339,10333994.0,44864258.0
1994-06,0.232109,10467691.0,45098132.0
1994-07,0.248493,11478246.0,46191443.0
1994-08,0.234076,10554429.0,45089739.0
1994-09,0.243044,10958842.0,45089979.0
1994-10,0.244787,11009203.0,44974669.0
1994-11,0.244089,10996750.0,45052145.0
1994-12,0.155877,6664965.0,42757809.0
1995-01,0.162305,6623125.87053,40806668.44048
1995-02,0.165883,6763671.274730001,40773728.54943
1995-03,0.207988,8136662.87717,39120798.704490006
1995-04,0.239241,9740554.40175,40714409.574760005
1995-05,0.238561,9508638.65102,39858245.0035
1995-06,0.226808,9426395.26144,41561213.04512
1995-07,0.219598,9126184.7292,41558671.220249996
1995-08,0.218203,8694235.84108,39844777.39764
1995-09,0.214533,8803321.55356,41034840.23269
1995-10,0.208829,8335406.66281,39914992.29533
1995-11,0.189994,7579817.12524,39895038.39161
1995-12,0.175867,7489415.0,42585689.0
1996-01,0.170182,7037925.671600001,41355379.71871
1996-02,0.165486,6979903.4724,42178323.28676
1996-03,0.177744,7520131.0,42308716.0
1996-04,0.177323,7306216.0,41202935.0
1996-05,0.18716,7568200.0,40437133.0
1996-06,0.178703,7524718.0,42107441.0
1996-07,0.184011,7486933.0,40687370.0
1996-08,0.177619,7080708.0,39864506.0
1996-09,0.18063,7327623.0,40566972.0
1996-10,0.18401,7262536.0,39468175.0
1996-11,0.18304,7277391.0,39758552.0
1996-12,0.318159,6949207.0,21841923.0
1997-01,0.334526,6833982.0,20428853.0
1997-02,0.316405,6570696.0,20766720.0
1997-03,0.379225,7580143.0,19988508.0
1997-04,0.382036,7151997.0,18720756.0
1997-05,0.352359,6877738.0,19519126.0
1997-06,0.338293,7017520.0,20743932.0
1997-07,0.327122,6728025.0,20567338.0
1997-08,0.351289,6989446.0,19896559.0
1997-09,0.361403,7170585.0,19840961.0
1997-10,0.370167,7719913.0,20855244.0
1997-11,0.340487,6776074.0,19901100.0
1997-12,0.314968,6912686.0,21947238.0
1998-01,0.354123,7253086.0,20481820.15481
1998-02,0.332725,7178056.0,21573567.07868
1998-03,0.317169,6646953.0,20957152.583949998
1998-04,0.330776,6880093.0,20799882.256580003
1998-05,0.319772,6739569.0,21076184.40006
1998-06,0.307747,6519039.0,21183132.401419997
1998-07,0.268436,6344827.0,23636304.013129998
1998-08,0.292629,6186622.0,21141525.672210004
1998-09,0.323357,6655097.0,20581287.0
1998-10,0.32451,6827886.0,21040575.887260005
1998-11,0.315174,6755988.0,21435754.5379
1998-12,0.265937,6234266.0,23442615.0
1999-01,0.291543,6137371.0,21051334.28099
1999-02,0.266404,6166363.0,23146624.858160004
1999-03,0.279982,6108046.0,21815868.335740004
1999-04,0.28698,5995755.0,20892552.52277
1999-05,0.285158,6020547.0,21113012.79433
1999-06,0.264893,5763984.0,21759655.96395
1999-07,0.293578,6306847.0,21482665.92802
1999-08,0.317743,6791585.0,21374459.56618
1999-09,0.325375,6925207.0,21283776.72321
1999-10,0.269755,5879448.0,21795518.5279
1999-11,0.243251,5352235.0,22002960.62984
1999-12,0.229657,5358049.0,23330695.420320004
2000-01,0.233537,5045626.0,21605246.0
2000-02,0.234129,4994567.0,21332587.666939996
2000-03,0.230557,5043230.0,21874098.4193
2000-04,0.266166,5425241.0,20382896.51679
2000-05,0.232288,4606365.0,19830377.753129996
2000-06,0.214736,4705435.0,21912696.386449996
2000-07,0.220041,4735203.0,21519628.53515
2000-08,0.22842,4599006.0,20133993.38196
2000-09,0.208551,4302630.0,20631073.422530003
2000-10,0.200762,4114538.0,20494640.76027
2000-11,0.200341,4080921.0,20369906.35262
2000-12,0.267073,6173623.0,23115860.975
2001-01,0.366468,8648510.0,23599660.58624
2001-02,0.411964,8575191.0,20815381.0
2001-03,0.389848,8192308.0,21014125.0
2001-04,0.414369,8478381.0,20460922.0
2001-05,0.524098,10344334.0,19737412.0
2001-06,0.386368,10660565.0,27591744.0
2001-07,0.504801,12396529.0,24557244.0
2001-08,0.561098,13044233.0,23247711.0
2001-09,0.590631,17091874.0,28938330.0
2001-10,0.64947,17066690.0,26277864.0
2001-11,0.740899,18571842.0,25066644.0
2001-12,0.699133,19507877.0,27902973.0
2002-01,0.758515,28111272.0,37060920.0
2002-02,0.776185,38711963.0,49874671.0
2002-03,0.826395,49137463.0,59460002.0
2002-04,0.803352,48702727.0,60624368.0
2002-05,0.89313,58360741.0,65344047.0
2002-06,0.928634,62128189.0,66902784.0
2002-07,0.920871,59028186.0,64100367.0
2002-08,0.877149,58370384.0,66545576.0
2002-09,0.850165,56661985.0,66648231.0
2002-10,0.799912,53273382.0,66599060.0
2002-11,0.775794,53864881.0,69431918.0
2002-12,0.732982,51696847.0,70529475.0
2003-01,0.763411,50365204.0,65973866.0
2003-02,0.733714,49462742.0,67414242.0
2003-03,0.694831,45073377.0,64869543.0
2003-04,0.689385,45113209.0,65439790.0
2003-05,0.662464,46339533.0,69950232.0
2003-06,0.62519,45484378.0,72752943.0
2003-07,0.579568,43736209.0,75463521.0
2003-08,0.588627,47681215.0,81004149.0
2003-09,0.578957,46811766.0,80855323.0
2003-10,0.590007,46646729.0,79061347.0
2003-11,0.580661,48034238.0,82723417.0
2003-12,0.577686,49125774.0,85038913.0
2004-01,0.568202,49716630.0,87498217.0
2004-02,0.564722,49255343.0,87220440.0
2004-03,0.550058,47134135.0,85689422.0
2004-04,0.513608,45407050.0,88407989.0
2004-05,0.513562,47808966.0,93092878.0
2004-06,0.484616,46684215.0,96332314.0
2004-07,0.469622,46251866.0,98487365.0
2004-08,0.462847,46326703.0,100090809.0
2004-09,0.44845,45269517.0,100946682.0
2004-10,0.439989,45408024.0,103202636.0
2004-11,0.437896,45692467.0,104345557.0
2004-12,0.414124,44981052.0,108617227.0
2005-01,0.395611,43028587.0,108764822.0
2005-02,0.387776,42627346.0,109927709.0
2005-03,0.371865,39987309.0,107531846.0
2005-04,0.351768,38477816.0,109383994.0
2005-05,0.328893,36690516.0,111557741.0
2005-06,0.310366,35211794.0,113452375.0
2005-07,0.286911,34371240.0,119797675.0
2005-08,0.287727,34775092.0,120861390.0
2005-09,0.274981,33025606.0,120101600.0
2005-10,0.270023,33595853.0,124418540.0
2005-11,0.266606,32346131.0,121325768.0
2005-12,0.243385,31640982.0,130004045.0
2006-01,0.226489,29732276.0,131274427.0
2006-02,0.227966,29821780.0,130816574.0
2006-03,0.232529,31037946.0,133480043.0
2006-04,0.230325,31078148.0,134931828.0
2006-05,0.223005,31517571.0,141331455.0
2006-06,0.211565,30216571.0,142824232.0
2006-07,0.214791,31236220.0,145426148.0
2006-08,0.207301,31174319.0,150382081.0
2006-09,0.204558,31253304.0,152784741.0
2006-10,0.196751,30196743.0,153477332.0
2006-11,0.192503,30183615.0,156795930.0
2006-12,0.186978,30373011.0,162441856.0
2007-01,0.183499,30643410.0,166994872.0
2007-02,0.176669,30404451.0,172098055.0
2007-03,0.172463,30432883.0,176460302.0
2007-04,0.168302,30642107.0,182066384.0
2007-05,0.163812,30741414.0,187662883.0
2007-06,0.156767,30583698.0,195090735.0
2007-07,0.15437,30673530.0,198700750.0
2007-08,0.158947,30903798.0,194428149.0
2007-09,0.164367,31974441.0,194530656.0
2007-10,0.166854,32071913.0,192214955.0
2007-11,0.156091,30698276.0,196669490.0
2007-12,0.153404,31387941.0,204610138.0
2008-01,0.148199,31250706.0,210870215.0
2008-02,0.145664,31262364.0,214619497.0
2008-03,0.143592,31219212.0,217415449.0
2008-04,0.146214,31269405.0,213860771.0
2008-05,0.147375,30494306.0,206916425.0
2008-06,0.149857,30314594.0,202290087.0
2008-07,0.152998,31452501.0,205574736.0
2008-08,0.155865,31657910.0,203111437.0
2008-09,0.165264,33435162.0,202314170.404
2008-10,0.166492,33378397.0,200480890.96
2008-11,0.169238,34594224.0,204411148.9
2008-12,0.156887,34619358.0,220664056.283
