periodo,n_leyes_sancionadas,n_declaracion_pres,n_resolucion_pres,n_comunicacion_pres,n_simbolicas_pres
2023-01,0,30,59,10.0,99.0
2023-02,2,46,97,9.0,152.0
2023-03,2,456,400,73.0,929.0
2023-04,10,182,184,33.0,399.0
2023-05,0,249,172,28.0,449.0
2023-06,0,230,181,34.0,445.0
2023-07,5,118,118,15.0,251.0
2023-08,0,187,177,47.0,411.0
2023-09,12,206,206,21.0,433.0
2023-10,3,181,147,15.0,343.0
2023-11,0,153,117,16.0,286.0
2023-12,0,67,72,4.0,143.0
2024-01,0,48,47,8.0,103.0
2024-02,0,85,90,18.0,193.0
2024-03,1,241,322,50.0,613.0
2024-04,2,209,241,46.0,496.0
2024-05,0,221,243,46.0,510.0
2024-06,2,145,194,13.0,352.0
2024-07,1,224,205,46.0,475.0
2024-08,11,212,258,39.0,509.0
2024-09,2,279,270,51.0,600.0
2024-10,23,205,219,42.0,466.0
2024-11,0,175,416,24.0,615.0
2024-12,0,87,87,15.0,189.0
2025-01,0,34,73,8.0,115.0
2025-02,4,70,184,28.0,282.0
2025-03,0,259,529,57.0,845.0
2025-04,0,213,284,41.0,538.0
2025-05,3,263,358,39.0,660.0
2025-06,0,205,213,28.0,446.0
2025-07,0,195,233,21.0,449.0
2025-08,2,177,210,17.0,404.0
2025-09,2,183,247,24.0,454.0
2025-10,0,166,184,22.0,372.0
2025-11,0,146,116,11.0,273.0
2025-12,2,81,69,5.0,155.0
2026-01,0,32,66,8.0,106.0
2026-02,3,50,67,4.0,121.0
2026-03,1,204,367,27.0,598.0
2026-04,1,171,261,40.0,472.0
2026-05,9,141,225,24.0,390.0
2026-06,0,105,194,3.0,302.0
2026-07,0,7,27,,34.0
