periodo,carta_organica_ratio,carta_organica_exceso,adelantos,base_monetaria,recaudacion_12m,modo
2003-01,0.4963,0.0,4370000,29491635.0,52664572.305885,completo
2003-02,0.3856,0.0,3490000,30163514.0,54317743.809705,completo
2003-03,0.3099,0.0,2878000,30667369.0,56064374.381385006,completo
2003-04,0.2882,0.0,2778000,31474658.0,58636853.511305,completo
2003-05,0.4785,0.0,4878000,34149188.0,60959181.56837501,completo
2003-06,0.4793,0.0,5178000,37674547.0,62825635.937675,completo
2003-07,0.4843,0.0,5358000,38573095.0,64346294.204355,completo
2003-08,0.4723,0.0,5358000,39812832.0,65670178.766425006,completo
2003-09,0.4992,0.0,5792000,40477623.0,67442422.276265,completo
2003-10,0.5979,0.0,7205000,42946426.0,68963333.4914,completo
2003-11,0.5842,0.0,7205000,44157342.0,70336335.57198,completo
2003-12,0.5759,0.0,7368775,46391026.0,72274574.28908,completo
2004-01,0.5658,0.0,7368775,46993447.0,73834132.53856,completo
2004-02,0.559,0.0,7368775,46892744.0,75539905.04444,completo
2004-03,0.52,0.0,6868775,45632819.0,77329515.247495,completo
2004-04,0.5073,0.0,6868775,47064468.0,78920646.36422499,completo
2004-05,0.486,0.0,6868775,47650474.0,84139513.633225,completo
2004-06,0.5567,0.0,8098775,48626699.0,87128029.573315,completo
2004-07,0.5555,0.0,8098775,47062165.0,89324918.69513498,completo
2004-08,0.5954,0.0,8848775,47406654.0,91739093.327415,completo
2004-09,0.6372,0.0,9598775,47533794.0,93598740.56291999,completo
2004-10,0.7067,0.0,10630875,45890257.0,95357867.389535,completo
2004-11,0.7389,0.0,11487875,48675102.0,97066826.01269001,completo
2004-12,0.8252,0.0,13309200,52477414.0,98307465.87199,completo
2005-01,0.8361,0.0,13309200,49362525.0,99949995.667135,completo
2005-02,0.8126,0.0,13118200,49663965.0,101840193.0131,completo
2005-03,0.8007,0.0,13118200,50202530.0,103584891.83586499,completo
2005-04,0.8645,0.0,14318200,49845134.0,105819157.03524001,completo
2005-05,0.8501,0.0,14288200,52142096.0,105496975.1594,completo
2005-06,0.8228,0.0,13888200,51423831.0,107081246.404445,completo
2005-07,0.8602,0.0,14938200,54392482.0,108388505.950605,completo
2005-08,0.8449,0.0,14938200,55528642.0,110177195.668645,completo
2005-09,0.882,0.0,15458200,52642831.0,112088436.29385,completo
2005-10,0.8755,0.0,15848200,55909857.0,113935050.22863,completo
2005-11,0.752,0.0,13763100,55891484.0,115945250.21401,completo
2005-12,0.8652,0.0,15998200,54710492.0,119252340.46369,completo
2006-01,0.8274,0.0,15998200,59788740.0,121614518.79876499,completo
2006-02,0.7789,0.0,14998200,57264078.0,123845411.757655,completo
2006-03,0.762,0.0,14998200,59090681.0,125928465.587665,completo
2006-04,0.7525,0.0,14998200,60534911.0,126659050.62864,completo
2006-05,0.7454,0.0,14998200,60196697.0,128971439.18031499,completo
2006-06,0.6537,0.0,13598200,63563532.0,131749774.55286999,completo
2006-07,0.6412,0.0,13598200,64693291.0,134427069.76784,completo
2006-08,0.6853,0.0,14798200,65616743.0,137181760.82726,completo
2006-09,0.663,0.0,14808200,69427375.0,140048011.62359,completo
2006-10,0.6581,0.0,14807100,67892519.0,143518262.762725,completo
2006-11,0.6351,0.0,14915100,73039011.0,147190387.60138,completo
2006-12,0.7449,0.0,18330000,80066309.0,150008727.26492,completo
2007-01,0.6748,0.0,16530000,76329393.0,153379306.35281998,completo
2007-02,0.7432,0.0,18330000,75328004.0,156254439.356775,completo
2007-03,0.7208,0.0,18330000,78796882.0,159757721.390405,completo
2007-04,0.7152,0.0,18330000,77733333.0,163024257.994575,completo
2007-05,0.7003,0.0,18330000,78517533.0,167541548.34895998,completo
2007-06,0.6735,0.0,18330000,83674915.0,171745571.26858997,completo
2007-07,0.6451,0.0,18330000,89691132.0,176526270.977175,completo
2007-08,0.6402,0.0,18330000,87451561.0,181387281.855785,completo
2007-09,0.6346,0.0,18330000,86218016.0,185368596.91910502,completo
2007-10,0.6281,0.0,18330000,85146899.0,189658508.608195,completo
2007-11,0.5672,0.0,17130000,89766578.0,194279156.075105,completo
2007-12,0.6688,0.0,21330000,99278658.0,199781607.154015,completo
2008-01,0.6659,0.0,21330000,94466758.0,206975346.41707504,completo
2008-02,0.6459,0.0,21330000,97512870.0,213223093.960265,completo
2008-03,0.6365,0.0,21330000,98436682.0,216968562.603325,completo
2008-04,0.6243,0.0,21330000,98099522.0,223929987.186385,completo
2008-05,0.6164,0.0,21330000,97256152.0,229313725.423895,completo
2008-06,0.5965,0.0,21330000,102222638.0,234898163.986295,completo
2008-07,0.5938,0.0,21330000,97709285.0,241947088.75886,completo
2008-08,0.5808,0.0,21330000,99090449.0,248319191.70683,completo
2008-09,0.5656,0.0,21330000,101338945.0,255484295.56114998,completo
2008-10,0.5524,0.0,21330000,103360103.0,262110381.49483,completo
2008-11,0.5354,0.0,20730000,101529129.0,265354114.01562998,completo
2008-12,0.6633,0.0,26580000,109449031.0,269374973.02442,completo
2009-01,0.5437,0.0,21580000,104267617.0,271755024.36407995,completo
2009-02,0.5403,0.0,21480000,102208057.0,274927651.16209,completo
2009-03,0.5976,0.0,23680000,97680934.0,279003530.74974,completo
2009-04,0.6722,0.0,26980000,99648893.0,281809436.33432,completo
2009-05,0.7282,0.0,29480000,99971207.0,284841784.33125,completo
2009-06,0.7742,0.0,31880000,103185015.0,287973616.68229,completo
2009-07,0.7745,0.0,31930000,101519317.0,290468537.0489,completo
2009-08,0.7658,0.0,31930000,104529738.0,291494903.76694,completo
2009-09,0.7504,0.0,31400000,103858043.0,293827022.85188,completo
2009-10,0.7516,0.0,31980000,107919286.0,295967420.55199003,completo
2009-11,0.8011,0.0,34730000,110925151.0,300410623.39694,completo
2009-12,0.8097,0.0,36580000,122350171.0,304930585.988265,completo
2010-01,0.8427,0.0,38380000,121318193.0,309846659.90033495,completo
2010-02,0.8461,0.0,38430000,116459727.0,314447217.38330495,completo
2010-03,0.8195,0.0,38380000,122612493.0,321190654.958425,completo
2010-04,0.8519,0.0,40180000,119477821.0,328273582.506875,completo
2010-05,0.8253,0.0,40130000,121601037.0,340326936.119435,completo
2010-06,0.7981,0.0,40180000,127162592.0,350869485.223185,completo
2010-07,0.7686,0.0,40130000,134066181.0,361230735.571015,completo
2010-08,0.7515,0.0,40130000,136232292.0,370513645.59863496,completo
2010-09,0.7327,0.0,40130000,139804272.0,379931024.507265,completo
2010-10,0.7198,0.0,40180000,140516481.0,389591561.246395,completo
2010-11,0.6985,0.0,40130000,145515407.0,399906866.649105,completo
2010-12,0.7666,0.0,46180000,160407987.0,409900893.88535,completo
2011-01,0.726,0.0,44430000,158604572.0,421643040.40307003,completo
2011-02,0.7142,0.0,44530000,160387260.0,431016218.96218,completo
2011-03,0.7095,0.0,44780000,159289860.0,439970508.00321,completo
2011-04,0.7101,0.0,46180000,167292909.0,449579313.68399,completo
2011-05,0.692,0.0,46230000,172685474.0,460874691.31917,completo
2011-06,0.6749,0.0,46180000,176683549.0,472258510.047845,completo
2011-07,0.656,0.0,46230000,185010645.0,482728675.36999,completo
2011-08,0.6439,0.0,46230000,185824412.0,494950726.51240003,completo
2011-09,0.6804,0.0,50230000,192686025.0,507031425.60874003,completo
2011-10,0.6853,0.0,51180000,190247225.0,518508818.10868,completo
2011-11,0.694,0.0,53230000,198013671.0,529376806.32382,completo
2011-12,0.8312,0.0,67130000,222921853.0,540133951.42981,completo
2012-01,0.8266,0.0,67080000,216117379.0,552210669.63646,completo
2012-02,0.8499,0.0,68780000,205436675.0,562742599.69512,completo
2012-03,0.8418,0.0,70580000,220625738.0,573642767.00376,completo
