periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_sin_cobertura,tasa_concurso_vacantes,stale_meses,meses_sin_nombramiento,cobertura_estimada
2003-01,,,,,,,1,0
2003-02,,,,,,,2,0
2003-03,,,,,,,3,0
2003-04,,,,,,,0,0
2003-05,,,,,,,1,0
2003-06,,,,,,,2,0
2003-07,,,,,,,3,0
2003-08,,,,,,,4,0
2003-09,,,,,,,5,0
2003-10,,,,,,,6,0
2003-11,,,,,,,0,0
2003-12,,,,,,,1,0
2004-01,,,,,,,2,0
2004-02,,,,,,,3,0
2004-03,,,,,,,4,0
2004-04,,,,,,,5,0
2004-05,,,,,,,6,0
2004-06,,,,,,,7,0
2004-07,,,,,,,0,0
2004-08,,,,,,,0,0
2004-09,,,,,,,1,0
2004-10,,,,,,,0,0
2004-11,,,,,,,1,0
2004-12,,,,,,,0,0
2005-01,,,,,,,1,0
2005-02,,,,,,,2,0
2005-03,,,,,,,0,0
2005-04,,,,,,,1,0
2005-05,,,,,,,2,0
2005-06,,,,,,,0,0
2005-07,,,,,,,1,0
2005-08,,,,,,,0,0
2005-09,,,,,,,0,0
2005-10,,,,,,,1,0
2005-11,,,,,,,2,0
2005-12,,,,,,,3,0
2006-01,,,,,,,4,0
2006-02,,,,,,,5,0
2006-03,,,,,,,6,0
2006-04,,,,,,,0,0
2006-05,,,,,,,1,0
2006-06,,,,,,,0,0
2006-07,,,,,,,1,0
2006-08,,,,,,,2,0
2006-09,,,,,,,3,0
2006-10,,,,,,,4,0
2006-11,,,,,,,0,0
2006-12,,,,,,,1,0
2007-01,,,,,,,2,0
2007-02,,,,,,,3,0
2007-03,,,,,,,4,0
2007-04,,,,,,,5,0
2007-05,,,,,,,6,0
2007-06,,,,,,,7,0
2007-07,,,,,,,8,0
2007-08,,,,,,,0,0
2007-09,,,,,,,0,0
2007-10,,,,,,,1,0
2007-11,,,,,,,2,0
2007-12,,,,,,,3,0
2008-01,,,,,,,0,0
2008-02,,,,,,,1,0
2008-03,,,,,,,2,0
2008-04,,,,,,,0,0
2008-05,,,,,,,0,0
2008-06,,,,,,,1,0
2008-07,,,,,,,0,0
2008-08,,,,,,,1,0
