periodo,costo_legislativo
2023-01,0.006386
2023-02,0.004518
2023-03,0.004268
2023-04,0.004969
2023-05,0.004129
2023-06,0.00387
2023-07,0.004754
2023-08,0.00507
2023-09,0.004607
2023-10,0.005417
2023-11,0.005547
2023-12,0.005826
2024-01,0.004385
2024-02,0.004479
2024-03,0.005749
2024-04,0.004952
2024-05,0.00413
2024-06,0.005329
2024-07,0.004089
2024-08,0.004243
2024-09,0.00402
2024-10,0.004748
2024-11,0.004317
2024-12,0.007306
2025-01,0.00473
2025-02,0.004132
2025-03,0.004089
2025-04,0.005184
2025-05,0.00379
2025-06,0.004427
2025-07,0.003889
2025-08,0.00404
2025-09,0.004427
2025-10,0.004323
2025-11,0.003365
2025-12,0.006188
2026-01,0.004252
2026-02,0.003633
2026-03,0.0047
2026-04,0.005184
2026-05,0.003818
2026-06,0.004472
2026-07,0.005258
2026-08,0.014957
