periodo,presupuesto_aprobado,n_modif_da,n_modif_dnu,n_modif_total,modif_12m
2023-01,1,,,,
2023-02,1,,,,
2023-03,1,,,,
2023-04,1,,,,
2023-05,1,,,,
2023-06,1,,,,
2023-07,1,,,,
2023-08,1,,,,
2023-09,1,,,,
2023-10,1,,,,
2023-11,1,,,,
2023-12,1,,,,
2024-01,0,0.0,0.0,0.0,
2024-02,0,0.0,0.0,0.0,
2024-03,0,0.0,1.0,1.0,
2024-04,0,0.0,0.0,0.0,
2024-05,0,1.0,0.0,1.0,
2024-06,0,1.0,0.0,1.0,3.0
2024-07,0,0.0,2.0,2.0,5.0
2024-08,0,0.0,0.0,0.0,5.0
2024-09,0,2.0,0.0,2.0,7.0
2024-10,0,1.0,0.0,1.0,8.0
2024-11,0,1.0,0.0,1.0,9.0
2024-12,0,1.0,1.0,2.0,11.0
2025-01,0,0.0,0.0,0.0,11.0
2025-02,0,0.0,0.0,0.0,11.0
2025-03,0,0.0,1.0,1.0,11.0
2025-04,0,0.0,0.0,0.0,11.0
2025-05,0,1.0,0.0,1.0,11.0
2025-06,0,0.0,1.0,1.0,11.0
2025-07,0,0.0,0.0,0.0,9.0
2025-08,0,0.0,0.0,0.0,9.0
2025-09,0,2.0,0.0,2.0,9.0
2025-10,0,1.0,0.0,1.0,9.0
2025-11,0,0.0,0.0,0.0,8.0
2025-12,0,2.0,1.0,3.0,9.0
2026-01,1,0.0,0.0,0.0,9.0
2026-02,1,1.0,0.0,1.0,10.0
2026-03,1,0.0,0.0,0.0,9.0
2026-04,1,0.0,0.0,0.0,9.0
2026-05,1,1.0,0.0,1.0,9.0
2026-06,1,0.0,0.0,0.0,8.0
2026-07,1,0.0,0.0,0.0,8.0
