periodo,n_informes_jgm,informes_12m,cumplimiento_art101_12m
2003-01,0,,
2003-02,0,,
2003-03,0,,
2003-04,0,,
2003-05,0,,
2003-06,1,1.0,0.08333333333333333
2003-07,0,1.0,0.08333333333333333
2003-08,1,2.0,0.16666666666666666
2003-09,0,2.0,0.16666666666666666
2003-10,0,2.0,0.16666666666666666
2003-11,1,3.0,0.25
2003-12,0,3.0,0.25
2004-01,0,3.0,0.25
2004-02,0,3.0,0.25
2004-03,0,3.0,0.25
2004-04,1,4.0,0.3333333333333333
2004-05,0,4.0,0.3333333333333333
2004-06,1,4.0,0.3333333333333333
2004-07,0,4.0,0.3333333333333333
2004-08,1,4.0,0.3333333333333333
2004-09,0,4.0,0.3333333333333333
2004-10,1,5.0,0.4166666666666667
2004-11,0,4.0,0.3333333333333333
2004-12,0,4.0,0.3333333333333333
2005-01,0,4.0,0.3333333333333333
2005-02,0,4.0,0.3333333333333333
2005-03,0,4.0,0.3333333333333333
2005-04,1,4.0,0.3333333333333333
2005-05,0,4.0,0.3333333333333333
2005-06,0,3.0,0.25
2005-07,0,3.0,0.25
2005-08,0,2.0,0.16666666666666666
2005-09,0,2.0,0.16666666666666666
2005-10,1,2.0,0.16666666666666666
2005-11,0,2.0,0.16666666666666666
2005-12,0,2.0,0.16666666666666666
2006-01,0,2.0,0.16666666666666666
2006-02,0,2.0,0.16666666666666666
2006-03,0,2.0,0.16666666666666666
2006-04,0,1.0,0.08333333333333333
2006-05,1,2.0,0.16666666666666666
2006-06,0,2.0,0.16666666666666666
2006-07,1,3.0,0.25
2006-08,1,4.0,0.3333333333333333
2006-09,0,4.0,0.3333333333333333
2006-10,0,3.0,0.25
2006-11,1,4.0,0.3333333333333333
2006-12,0,4.0,0.3333333333333333
2007-01,0,4.0,0.3333333333333333
2007-02,0,4.0,0.3333333333333333
2007-03,0,4.0,0.3333333333333333
2007-04,1,5.0,0.4166666666666667
2007-05,0,4.0,0.3333333333333333
2007-06,0,4.0,0.3333333333333333
2007-07,0,3.0,0.25
2007-08,0,2.0,0.16666666666666666
2007-09,1,3.0,0.25
2007-10,0,3.0,0.25
2007-11,1,3.0,0.25
2007-12,0,3.0,0.25
2008-01,0,3.0,0.25
2008-02,0,3.0,0.25
2008-03,0,3.0,0.25
2008-04,1,3.0,0.25
2008-05,0,3.0,0.25
2008-06,0,3.0,0.25
2008-07,0,3.0,0.25
2008-08,0,3.0,0.25
2008-09,0,2.0,0.16666666666666666
2008-10,1,3.0,0.25
2008-11,0,2.0,0.16666666666666666
2008-12,0,2.0,0.16666666666666666
2009-01,0,2.0,0.16666666666666666
2009-02,0,2.0,0.16666666666666666
2009-03,0,2.0,0.16666666666666666
2009-04,0,1.0,0.08333333333333333
2009-05,0,1.0,0.08333333333333333
2009-06,0,1.0,0.08333333333333333
2009-07,0,1.0,0.08333333333333333
2009-08,0,1.0,0.08333333333333333
2009-09,1,2.0,0.16666666666666666
2009-10,0,1.0,0.08333333333333333
2009-11,1,2.0,0.16666666666666666
2009-12,0,2.0,0.16666666666666666
2010-01,0,2.0,0.16666666666666666
2010-02,0,2.0,0.16666666666666666
2010-03,0,2.0,0.16666666666666666
2010-04,0,2.0,0.16666666666666666
2010-05,0,2.0,0.16666666666666666
2010-06,1,3.0,0.25
2010-07,0,3.0,0.25
2010-08,0,3.0,0.25
2010-09,1,3.0,0.25
2010-10,0,3.0,0.25
2010-11,0,2.0,0.16666666666666666
2010-12,0,2.0,0.16666666666666666
2011-01,0,2.0,0.16666666666666666
2011-02,0,2.0,0.16666666666666666
2011-03,0,2.0,0.16666666666666666
2011-04,0,2.0,0.16666666666666666
2011-05,1,3.0,0.25
2011-06,0,2.0,0.16666666666666666
2011-07,0,2.0,0.16666666666666666
2011-08,0,2.0,0.16666666666666666
2011-09,0,1.0,0.08333333333333333
2011-10,0,1.0,0.08333333333333333
2011-11,0,1.0,0.08333333333333333
2011-12,0,1.0,0.08333333333333333
2012-01,0,1.0,0.08333333333333333
2012-02,0,1.0,0.08333333333333333
2012-03,0,1.0,0.08333333333333333
2012-04,0,1.0,0.08333333333333333
2012-05,1,1.0,0.08333333333333333
2012-06,0,1.0,0.08333333333333333
2012-07,1,2.0,0.16666666666666666
2012-08,0,2.0,0.16666666666666666
2012-09,0,2.0,0.16666666666666666
2012-10,0,2.0,0.16666666666666666
2012-11,0,2.0,0.16666666666666666
2012-12,0,2.0,0.16666666666666666
2013-01,0,2.0,0.16666666666666666
2013-02,0,2.0,0.16666666666666666
2013-03,0,2.0,0.16666666666666666
2013-04,0,2.0,0.16666666666666666
2013-05,0,1.0,0.08333333333333333
2013-06,0,1.0,0.08333333333333333
2013-07,0,0.0,0.0
2013-08,0,0.0,0.0
2013-09,0,0.0,0.0
2013-10,1,1.0,0.08333333333333333
2013-11,0,1.0,0.08333333333333333
2013-12,0,1.0,0.08333333333333333
2014-01,0,1.0,0.08333333333333333
2014-02,0,1.0,0.08333333333333333
2014-03,1,2.0,0.16666666666666666
2014-04,0,2.0,0.16666666666666666
2014-05,1,3.0,0.25
2014-06,1,4.0,0.3333333333333333
2014-07,0,4.0,0.3333333333333333
2014-08,1,5.0,0.4166666666666667
2014-09,1,6.0,0.5
2014-10,1,6.0,0.5
2014-11,7,13.0,1.0
2014-12,0,13.0,1.0
2015-01,0,13.0,1.0
2015-02,0,13.0,1.0
2015-03,0,12.0,1.0
2015-04,0,12.0,1.0
2015-05,0,11.0,0.9166666666666666
2015-06,0,10.0,0.8333333333333334
2015-07,0,10.0,0.8333333333333334
2015-08,0,9.0,0.75
2015-09,0,8.0,0.6666666666666666
2015-10,0,7.0,0.5833333333333334
2015-11,0,0.0,0.0
2015-12,0,0.0,0.0
2016-01,0,0.0,0.0
2016-02,0,0.0,0.0
2016-03,0,0.0,0.0
2016-04,1,1.0,0.08333333333333333
2016-05,0,1.0,0.08333333333333333
2016-06,1,2.0,0.16666666666666666
2016-07,0,2.0,0.16666666666666666
2016-08,3,5.0,0.4166666666666667
2016-09,1,6.0,0.5
2016-10,1,7.0,0.5833333333333334
2016-11,1,8.0,0.6666666666666666
2016-12,0,8.0,0.6666666666666666
2017-01,0,8.0,0.6666666666666666
2017-02,0,8.0,0.6666666666666666
2017-03,1,9.0,0.75
2017-04,2,10.0,0.8333333333333334
2017-05,1,11.0,0.9166666666666666
2017-06,1,11.0,0.9166666666666666
2017-07,0,11.0,0.9166666666666666
2017-08,1,9.0,0.75
2017-09,1,9.0,0.75
2017-10,1,9.0,0.75
2017-11,2,10.0,0.8333333333333334
2017-12,0,10.0,0.8333333333333334
2018-01,0,10.0,0.8333333333333334
2018-02,0,10.0,0.8333333333333334
2018-03,1,10.0,0.8333333333333334
2018-04,1,9.0,0.75
2018-05,1,9.0,0.75
2018-06,1,9.0,0.75
2018-07,0,9.0,0.75
2018-08,2,10.0,0.8333333333333334
2018-09,0,9.0,0.75
2018-10,2,10.0,0.8333333333333334
2018-11,1,9.0,0.75
2018-12,0,9.0,0.75
2019-01,0,9.0,0.75
2019-02,0,9.0,0.75
2019-03,1,9.0,0.75
2019-04,1,9.0,0.75
2019-05,1,9.0,0.75
2019-06,1,9.0,0.75
2019-07,1,10.0,0.8333333333333334
2019-08,0,8.0,0.6666666666666666
2019-09,2,10.0,0.8333333333333334
2019-10,1,9.0,0.75
2019-11,0,8.0,0.6666666666666666
2019-12,0,8.0,0.6666666666666666
2020-01,0,8.0,0.6666666666666666
2020-02,0,8.0,0.6666666666666666
2020-03,0,7.0,0.5833333333333334
2020-04,0,6.0,0.5
2020-05,0,5.0,0.4166666666666667
2020-06,1,5.0,0.4166666666666667
2020-07,1,5.0,0.4166666666666667
2020-08,0,5.0,0.4166666666666667
2020-09,0,3.0,0.25
2020-10,1,3.0,0.25
2020-11,1,4.0,0.3333333333333333
2020-12,0,4.0,0.3333333333333333
2021-01,0,4.0,0.3333333333333333
2021-02,0,4.0,0.3333333333333333
2021-03,0,4.0,0.3333333333333333
2021-04,0,4.0,0.3333333333333333
2021-05,0,4.0,0.3333333333333333
2021-06,1,4.0,0.3333333333333333
2021-07,1,4.0,0.3333333333333333
2021-08,0,4.0,0.3333333333333333
2021-09,0,4.0,0.3333333333333333
2021-10,0,3.0,0.25
2021-11,0,2.0,0.16666666666666666
2021-12,1,3.0,0.25
2022-01,0,3.0,0.25
2022-02,0,3.0,0.25
2022-03,0,3.0,0.25
2022-04,0,3.0,0.25
2022-05,1,4.0,0.3333333333333333
2022-06,0,3.0,0.25
2022-07,0,2.0,0.16666666666666666
2022-08,0,2.0,0.16666666666666666
2022-09,1,3.0,0.25
2022-10,0,3.0,0.25
2022-11,1,4.0,0.3333333333333333
2022-12,0,3.0,0.25
2023-01,0,3.0,0.25
2023-02,0,3.0,0.25
2023-03,1,4.0,0.3333333333333333
2023-04,0,4.0,0.3333333333333333
2023-05,1,4.0,0.3333333333333333
2023-06,1,5.0,0.4166666666666667
2023-07,0,5.0,0.4166666666666667
2023-08,0,5.0,0.4166666666666667
2023-09,0,4.0,0.3333333333333333
2023-10,0,4.0,0.3333333333333333
2023-11,0,3.0,0.25
2023-12,1,4.0,0.3333333333333333
2024-01,0,4.0,0.3333333333333333
2024-02,0,4.0,0.3333333333333333
2024-03,0,3.0,0.25
2024-04,0,3.0,0.25
2024-05,1,3.0,0.25
2024-06,0,2.0,0.16666666666666666
2024-07,0,2.0,0.16666666666666666
2024-08,0,2.0,0.16666666666666666
2024-09,1,3.0,0.25
2024-10,0,3.0,0.25
2024-11,1,4.0,0.3333333333333333
2024-12,0,3.0,0.25
2025-01,0,3.0,0.25
2025-02,0,3.0,0.25
2025-03,0,3.0,0.25
2025-04,1,4.0,0.3333333333333333
2025-05,0,3.0,0.25
2025-06,1,4.0,0.3333333333333333
2025-07,0,4.0,0.3333333333333333
2025-08,1,5.0,0.4166666666666667
2025-09,0,4.0,0.3333333333333333
2025-10,0,4.0,0.3333333333333333
2025-11,0,3.0,0.25
2025-12,0,3.0,0.25
2026-01,0,3.0,0.25
2026-02,0,3.0,0.25
2026-03,0,3.0,0.25
2026-04,1,3.0,0.25
2026-05,0,3.0,0.25
