periodo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,MIA,cobertura_vars,DNU vs Leyes,Discrecionalidad presup.,Transparencia (AIP),ATN (federalismo),Eficacia de Control,Calidad Normativa,Costo del Legislativo,Desempeño de la Corte,Cobertura Judicial,Escrutinio Abierto,Pauta Publicitaria,Causas contra periodistas,Medios estatales,Acceso de la prensa,Financiamiento al Tesoro,Letras intransferibles,Designación Pdte. BCRA,Respeto Carta Orgánica
2024-01,35.72330790156036,62.24205128205128,59.40249999999999,73.52421870027204,22.888749999999998,49.507847931919166,17,39.7,0.0,80.6,67.8,26.3,100.0,80.2,,59.4,75.5,76.2,93.8,23.2,97.3,0.0,0.0,0.0,91.6
2024-02,35.10736798512018,62.75920512820513,59.40249999999999,75.52094992900031,22.888749999999998,49.72600641052712,17,38.0,0.0,80.4,67.6,27.4,100.0,80.3,,59.4,80.5,78.3,92.8,25.8,96.9,0.0,0.0,0.0,91.6
2024-03,34.77705723400698,62.389521367521375,44.03106809583859,77.20468879644282,22.938565476190472,46.738723203769084,18,36.6,0.0,80.8,68.2,26.9,100.0,78.9,33.8,59.4,84.7,80.4,91.5,28.5,96.4,0.0,0.2,0.0,91.6
2024-04,34.23840087420178,62.223578088578094,44.38178238155287,78.62674784941768,23.232708333333328,46.871510783699385,18,35.0,0.0,80.7,68.2,26.6,100.0,78.9,33.8,60.3,88.1,82.5,90.0,31.1,95.8,0.0,1.4,0.0,91.6
2024-05,33.60858370381817,62.083606837606844,44.73249666726716,79.94884920755368,24.435482142857143,47.10344551468187,18,32.6,0.0,80.0,69.9,26.3,100.0,78.9,33.8,61.2,90.9,84.6,88.8,33.7,95.1,0.0,5.2,0.0,92.6
2024-06,32.05956588317264,61.40867521367521,44.41654428631479,81.96139599042155,26.350758928571434,47.029736902798746,18,29.0,0.0,79.5,68.1,25.2,100.0,77.6,33.8,60.4,98.1,86.6,85.8,36.4,93.5,0.0,9.7,0.0,95.7
2024-07,30.931311000808883,60.79301631701631,44.10059190536239,82.38110869565219,31.153964912280706,47.28837598590834,18,24.9,0.0,79.0,70.0,24.1,99.6,78.2,33.8,59.6,100.0,88.7,82.1,39.0,91.7,9.5,13.6,0.0,99.6
2024-08,44.38121973560008,59.679478632478634,43.78463952441002,82.18847826086954,35.65325328947368,51.68344928460923,18,21.4,40.0,77.6,72.1,23.1,97.8,78.9,33.8,58.8,100.0,90.8,77.9,41.7,89.5,20.6,17.9,0.0,100.0
2024-09,44.40982639913443,59.112216006216,43.46868714345763,82.15889130434782,39.852324874686715,52.14081097653025,18,19.5,40.0,76.7,77.0,23.1,96.2,79.5,33.8,58.0,100.0,92.9,74.6,44.3,87.4,31.2,22.0,0.0,100.0
2024-10,42.37683121528952,58.580488733488735,43.152734762505254,82.16553623188406,43.776554354636595,51.95100765176376,18,17.3,36.6,76.2,77.1,23.1,94.7,80.1,33.8,57.2,100.0,95.0,71.2,46.9,85.5,40.8,26.2,0.0,100.0
2024-11,40.98393318776447,58.31046076146076,42.836782381552865,82.00913768115943,46.94789661654134,51.86818372958719,18,15.8,33.3,75.3,79.4,24.1,92.4,81.2,33.8,56.4,100.0,97.1,67.1,49.6,83.5,47.9,30.3,0.0,100.0
2024-12,42.81265318698414,56.68071095571096,42.5208300006005,81.9614347826087,50.39154746240602,52.537051484109746,18,15.5,29.4,74.6,100.0,23.1,90.1,79.9,33.8,55.6,100.0,99.2,63.3,52.2,81.8,55.2,35.4,0.0,100.0
2025-01,41.56957281320709,55.141920745920736,42.01365399627694,81.31513526570049,53.516539317042614,52.126737979813136,18,15.4,26.4,73.7,100.0,22.0,87.6,79.5,33.5,54.8,100.0,99.2,59.6,53.8,80.1,61.3,40.5,0.0,100.0
