anio,MIA_nucleo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,ejes_cubiertos,n_variables
2003,48.6,37.0,41.3,,82.3,48.0,4,10
2004,57.9,58.0,58.3,,65.2,49.6,4,10
2005,57.7,59.8,52.1,,70.3,48.7,4,10
2006,48.6,50.2,50.8,,35.2,55.6,4,10
2007,70.0,85.7,61.0,,62.5,58.4,4,10
2008,73.2,96.6,54.3,,65.9,58.9,4,10
2009,66.1,97.6,41.2,,48.8,53.3,4,10
2010,62.4,94.6,50.1,,28.3,48.7,4,10
2011,57.3,87.6,44.8,,22.4,48.5,4,10
2012,56.2,86.5,46.8,,23.7,40.8,4,10
2013,55.1,93.1,45.6,,23.6,23.1,4,10
2014,57.4,88.7,65.0,,29.1,13.2,4,10
2015,66.4,98.1,91.6,,25.5,10.5,4,10
2016,57.7,86.2,60.7,,44.6,9.6,4,10
2017,61.6,87.1,92.9,46.5,33.6,16.6,5,12
2018,66.7,91.1,91.9,52.7,46.1,23.4,5,12
2019,70.4,85.6,94.0,57.9,58.0,37.7,5,12
2020,42.5,17.0,72.9,56.5,68.4,8.6,5,12
2021,50.4,46.3,61.4,64.3,59.0,17.0,5,12
2022,53.5,60.5,58.9,67.8,54.0,12.5,5,12
2023,49.8,41.0,64.8,67.8,50.3,23.0,5,12
2024,51.9,43.7,56.7,40.6,78.3,50.4,5,13
2025,51.4,42.7,42.2,36.1,87.4,65.5,5,13
2026,49.1,31.3,48.3,34.1,87.4,67.3,5,13
