periodo,intensidad_pauta,stale_meses
2022-01,0.00086,0
2022-02,0.00086,0
2022-03,0.00086,0
2022-04,0.00086,0
2022-05,0.00086,0
2022-06,0.00086,0
2022-07,0.00086,0
2022-08,0.00086,0
2022-09,0.00086,0
2022-10,0.00086,0
2022-11,0.00086,0
2022-12,0.00086,0
2023-01,0.001035,0
2023-02,0.001035,0
2023-03,0.001035,0
2023-04,0.001035,0
2023-05,0.001035,0
2023-06,0.001035,0
2023-07,0.001035,0
2023-08,0.001035,0
2023-09,0.001035,0
2023-10,0.001035,0
2023-11,0.001035,0
2023-12,0.001035,0
2024-01,3.3e-05,0
2024-02,3.3e-05,0
2024-03,3.3e-05,0
2024-04,3.3e-05,0
2024-05,3.3e-05,0
2024-06,3.3e-05,0
2024-07,3.3e-05,0
2024-08,3.3e-05,0
2024-09,3.3e-05,0
2024-10,3.3e-05,0
2024-11,3.3e-05,0
2024-12,3.3e-05,0
2025-01,1e-06,0
2025-02,1e-06,0
2025-03,1e-06,0
2025-04,1e-06,0
2025-05,1e-06,0
2025-06,1e-06,0
2025-07,1e-06,0
2025-08,1e-06,0
2025-09,1e-06,0
2025-10,1e-06,0
2025-11,1e-06,0
2025-12,1e-06,0
2026-01,3e-06,0
2026-02,3e-06,0
2026-03,3e-06,0
2026-04,3e-06,0
2026-05,3e-06,0
2026-06,3e-06,0
2026-07,3e-06,0
2026-08,3e-06,0
