periodo,n_causas_judiciales,n_causas_jud_estado,causas_jud_12m,causas_estado_12m
2023-01,0,0,,
2023-02,0,0,,
2023-03,0,0,,
2023-04,0,0,,
2023-05,0,0,,
2023-06,0,0,0.0,0.0
2023-07,0,0,0.0,0.0
2023-08,0,0,0.0,0.0
2023-09,1,1,1.0,1.0
2023-10,0,0,1.0,1.0
2023-11,1,1,2.0,2.0
2023-12,1,1,3.0,3.0
2024-01,0,0,3.0,3.0
2024-02,0,0,3.0,3.0
2024-03,1,1,4.0,4.0
2024-04,1,1,5.0,5.0
2024-05,0,0,5.0,5.0
2024-06,2,2,7.0,7.0
2024-07,2,2,9.0,9.0
2024-08,1,1,10.0,10.0
2024-09,0,0,9.0,9.0
2024-10,0,0,9.0,9.0
2024-11,4,4,12.0,12.0
2024-12,1,1,12.0,12.0
2025-01,0,0,12.0,12.0
2025-02,0,0,12.0,12.0
2025-03,2,2,13.0,13.0
2025-04,1,1,13.0,13.0
2025-05,1,1,14.0,14.0
2025-06,0,0,12.0,12.0
2025-07,3,3,13.0,13.0
2025-08,5,5,17.0,17.0
2025-09,3,3,20.0,20.0
2025-10,2,2,22.0,22.0
2025-11,1,1,19.0,19.0
2025-12,3,3,21.0,21.0
2026-01,2,2,23.0,23.0
2026-02,0,0,23.0,23.0
2026-03,1,1,22.0,22.0
2026-04,1,1,22.0,22.0
2026-05,0,0,21.0,21.0
2026-06,0,0,21.0,21.0
2026-07,0,0,18.0,18.0
