periodo,casos_ingresados,casos_resueltos,tasa_resolucion,mediana_dias,stale_meses,originaria_dias,csjn_miembros,csjn_vacantes
2023-01,,,,,,,,
2023-02,,,,,,,,
2023-03,,,,,,,,
2023-04,,,,,,,,
2023-05,,,,,,,,
2023-06,,,,,,,,
2023-07,,,,,,,,
2023-08,,,,,,,,
2023-09,,,,,,,,
2023-10,,,,,,,,
2023-11,,,,,,,,
2023-12,,,,,,,,
2024-01,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-02,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-03,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-04,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-05,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-06,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-07,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-08,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-09,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-10,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-11,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2024-12,45678.0,19056.0,0.4172,385.0,0.0,2689.0,4.0,1.0
2025-01,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-02,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-03,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-04,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-05,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-06,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-07,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-08,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-09,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-10,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-11,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2025-12,58428.0,26524.0,0.454,364.0,0.0,2082.0,3.0,2.0
2026-01,58428.0,26524.0,0.454,364.0,1.0,2082.0,3.0,2.0
2026-02,58428.0,26524.0,0.454,364.0,2.0,2082.0,3.0,2.0
2026-03,58428.0,26524.0,0.454,364.0,3.0,2082.0,3.0,2.0
2026-04,58428.0,26524.0,0.454,364.0,4.0,2082.0,3.0,2.0
2026-05,58428.0,26524.0,0.454,364.0,5.0,2082.0,3.0,2.0
2026-06,58428.0,26524.0,0.454,364.0,6.0,2082.0,3.0,2.0
2026-07,58428.0,26524.0,0.454,364.0,7.0,2082.0,3.0,2.0
