periodo,n_citadas,n_realizadas,cit_12m,real_12m,cumplimiento_sesiones
2003-01,0,0,,,
2003-02,1,1,,,
2003-03,5,2,,,
2003-04,1,0,,,
2003-05,3,2,,,
2003-06,2,2,12.0,7.0,0.5833
2003-07,1,1,13.0,8.0,0.6154
2003-08,3,3,16.0,11.0,0.6875
2003-09,2,1,18.0,12.0,0.6667
2003-10,4,1,22.0,13.0,0.5909
2003-11,5,4,27.0,17.0,0.6296
2003-12,4,4,31.0,21.0,0.6774
2004-01,0,0,31.0,21.0,0.6774
2004-02,0,0,30.0,20.0,0.6667
2004-03,4,3,29.0,21.0,0.7241
2004-04,6,5,34.0,26.0,0.7647
2004-05,1,1,32.0,25.0,0.7812
2004-06,3,3,33.0,26.0,0.7879
2004-07,1,1,33.0,26.0,0.7879
2004-08,4,4,34.0,27.0,0.7941
2004-09,3,3,35.0,29.0,0.8286
2004-10,2,2,33.0,30.0,0.9091
2004-11,7,5,35.0,31.0,0.8857
2004-12,5,5,36.0,32.0,0.8889
2005-01,0,0,36.0,32.0,0.8889
2005-02,1,1,37.0,33.0,0.8919
2005-03,7,4,40.0,34.0,0.85
2005-04,3,2,37.0,31.0,0.8378
2005-05,4,3,40.0,33.0,0.825
2005-06,4,1,41.0,31.0,0.7561
2005-07,2,1,42.0,31.0,0.7381
2005-08,2,2,40.0,29.0,0.725
2005-09,10,4,47.0,30.0,0.6383
2005-10,2,0,47.0,28.0,0.5957
2005-11,3,0,43.0,23.0,0.5349
2005-12,6,6,44.0,24.0,0.5455
2006-01,0,0,44.0,24.0,0.5455
2006-02,2,2,45.0,25.0,0.5556
2006-03,5,5,43.0,26.0,0.6047
2006-04,3,2,43.0,26.0,0.6047
2006-05,7,5,46.0,28.0,0.6087
2006-06,5,5,47.0,32.0,0.6809
2006-07,3,3,48.0,34.0,0.7083
2006-08,5,5,51.0,37.0,0.7255
2006-09,4,4,45.0,37.0,0.8222
2006-10,3,3,46.0,40.0,0.8696
2006-11,11,10,54.0,50.0,0.9259
2006-12,10,9,58.0,53.0,0.9138
2007-01,0,0,58.0,53.0,0.9138
2007-02,2,2,58.0,53.0,0.9138
2007-03,5,4,58.0,52.0,0.8966
2007-04,3,3,58.0,53.0,0.9138
2007-05,3,1,54.0,49.0,0.9074
2007-06,3,3,52.0,47.0,0.9038
2007-07,2,1,51.0,45.0,0.8824
2007-08,4,3,50.0,43.0,0.86
2007-09,1,1,47.0,40.0,0.8511
2007-10,0,0,44.0,37.0,0.8409
2007-11,9,9,42.0,36.0,0.8571
2007-12,4,4,36.0,31.0,0.8611
2008-01,0,0,36.0,31.0,0.8611
2008-02,1,1,35.0,30.0,0.8571
2008-03,3,2,33.0,28.0,0.8485
2008-04,3,3,33.0,28.0,0.8485
2008-05,5,3,35.0,30.0,0.8571
2008-06,5,2,37.0,29.0,0.7838
2008-07,1,1,36.0,29.0,0.8056
2008-08,3,3,35.0,29.0,0.8286
2008-09,2,1,36.0,29.0,0.8056
2008-10,5,3,41.0,32.0,0.7805
2008-11,5,2,37.0,25.0,0.6757
2008-12,9,7,42.0,28.0,0.6667
2009-01,0,0,42.0,28.0,0.6667
2009-02,0,0,41.0,27.0,0.6585
2009-03,4,2,42.0,27.0,0.6429
2009-04,1,0,40.0,24.0,0.6
2009-05,1,1,36.0,22.0,0.6111
2009-06,0,0,31.0,20.0,0.6452
2009-07,0,0,30.0,19.0,0.6333
2009-08,3,2,30.0,18.0,0.6
2009-09,1,1,29.0,18.0,0.6207
2009-10,4,2,28.0,17.0,0.6071
2009-11,5,5,28.0,20.0,0.7143
2009-12,1,1,20.0,14.0,0.7
2010-01,0,0,20.0,14.0,0.7
2010-02,0,0,20.0,14.0,0.7
2010-03,2,1,18.0,13.0,0.7222
2010-04,4,2,21.0,15.0,0.7143
2010-05,4,4,24.0,18.0,0.75
2010-06,3,3,27.0,21.0,0.7778
2010-07,1,1,28.0,22.0,0.7857
2010-08,4,2,29.0,22.0,0.7586
2010-09,4,2,32.0,23.0,0.7188
2010-10,2,1,30.0,22.0,0.7333
2010-11,4,3,29.0,20.0,0.6897
2010-12,1,1,29.0,20.0,0.6897
2011-01,0,0,29.0,20.0,0.6897
2011-02,0,0,29.0,20.0,0.6897
2011-03,2,1,29.0,20.0,0.6897
2011-04,1,1,26.0,19.0,0.7308
2011-05,2,1,24.0,16.0,0.6667
2011-06,1,1,22.0,14.0,0.6364
2011-07,0,0,21.0,13.0,0.619
2011-08,1,1,18.0,12.0,0.6667
2011-09,1,1,15.0,11.0,0.7333
2011-10,1,0,14.0,10.0,0.7143
2011-11,1,1,11.0,8.0,0.7273
2011-12,3,3,13.0,10.0,0.7692
2012-01,0,0,13.0,10.0,0.7692
2012-02,0,0,13.0,10.0,0.7692
2012-03,4,4,15.0,13.0,0.8667
2012-04,1,1,15.0,13.0,0.8667
2012-05,3,3,16.0,15.0,0.9375
2012-06,3,2,18.0,16.0,0.8889
2012-07,2,2,20.0,18.0,0.9
2012-08,2,2,21.0,19.0,0.9048
2012-09,0,0,20.0,18.0,0.9
2012-10,3,3,22.0,21.0,0.9545
2012-11,3,3,24.0,23.0,0.9583
2012-12,2,2,23.0,22.0,0.9565
2013-01,0,0,23.0,22.0,0.9565
2013-02,1,1,24.0,23.0,0.9583
2013-03,1,1,21.0,20.0,0.9524
2013-04,2,2,22.0,21.0,0.9545
2013-05,2,1,21.0,19.0,0.9048
2013-06,2,1,20.0,18.0,0.9
2013-07,1,1,19.0,17.0,0.8947
2013-08,0,0,17.0,15.0,0.8824
2013-09,3,3,20.0,18.0,0.9
2013-10,0,0,17.0,15.0,0.8824
2013-11,1,1,15.0,13.0,0.8667
2013-12,1,1,14.0,12.0,0.8571
2014-01,0,0,14.0,12.0,0.8571
2014-02,0,0,13.0,11.0,0.8462
2014-03,0,0,12.0,10.0,0.8333
2014-04,2,2,12.0,10.0,0.8333
2014-05,5,2,15.0,11.0,0.7333
2014-06,3,1,16.0,11.0,0.6875
2014-07,1,1,16.0,11.0,0.6875
2014-08,2,2,18.0,13.0,0.7222
2014-09,3,3,18.0,13.0,0.7222
2014-10,4,4,22.0,17.0,0.7727
2014-11,3,3,24.0,19.0,0.7917
2014-12,3,3,26.0,21.0,0.8077
2015-01,0,0,26.0,21.0,0.8077
2015-02,1,1,27.0,22.0,0.8148
2015-03,0,0,27.0,22.0,0.8148
2015-04,2,2,27.0,22.0,0.8148
2015-05,0,0,22.0,20.0,0.9091
2015-06,1,1,20.0,20.0,1.0
2015-07,1,1,20.0,20.0,1.0
2015-08,1,1,19.0,19.0,1.0
2015-09,1,1,17.0,17.0,1.0
2015-10,1,1,14.0,14.0,1.0
2015-11,2,2,13.0,13.0,1.0
2015-12,1,1,11.0,11.0,1.0
2016-01,0,0,11.0,11.0,1.0
2016-02,0,0,10.0,10.0,1.0
2016-03,2,2,12.0,12.0,1.0
2016-04,2,2,12.0,12.0,1.0
2016-05,2,1,14.0,13.0,0.9286
2016-06,4,4,17.0,16.0,0.9412
2016-07,0,0,16.0,15.0,0.9375
2016-08,2,2,17.0,16.0,0.9412
2016-09,3,3,19.0,18.0,0.9474
2016-10,3,3,21.0,20.0,0.9524
2016-11,4,4,23.0,22.0,0.9565
2016-12,2,2,24.0,23.0,0.9583
2017-01,0,0,24.0,23.0,0.9583
2017-02,1,1,25.0,24.0,0.96
