periodo,n_total,n_concluido,n_resuelto,n_vencido,n_en_plazo,tasa_respuesta,tasa_en_plazo,madurez
2023-01,603,603,572,31,355,0.9486,0.5887,1.0
2023-02,516,516,496,20,332,0.9612,0.6434,1.0
2023-03,937,937,908,29,674,0.9691,0.7193,1.0
2023-04,690,690,680,10,496,0.9855,0.7188,1.0
2023-05,703,703,680,23,458,0.9673,0.6515,1.0
2023-06,673,673,643,30,441,0.9554,0.6553,1.0
2023-07,642,642,607,35,439,0.9455,0.6838,1.0
2023-08,663,663,639,24,434,0.9638,0.6546,1.0
2023-09,639,639,604,35,423,0.9452,0.662,1.0
2023-10,683,683,649,34,451,0.9502,0.6603,1.0
2023-11,685,685,647,38,486,0.9445,0.7095,1.0
2023-12,550,550,523,27,338,0.9509,0.6145,1.0
2024-01,636,636,616,20,403,0.9686,0.6336,1.0
2024-02,654,654,634,20,452,0.9694,0.6911,1.0
2024-03,868,868,840,28,589,0.9677,0.6786,1.0
2024-04,1006,1006,944,62,593,0.9384,0.5895,1.0
2024-05,1035,1035,998,37,612,0.9643,0.5913,1.0
2024-06,932,932,899,33,492,0.9646,0.5279,1.0
2024-07,980,980,934,46,523,0.9531,0.5337,1.0
2024-08,999,999,952,47,587,0.953,0.5876,1.0
2024-09,830,830,796,34,531,0.959,0.6398,1.0
2024-10,845,845,813,32,513,0.9621,0.6071,1.0
2024-11,584,584,550,34,370,0.9418,0.6336,1.0
2024-12,582,582,549,33,352,0.9433,0.6048,1.0
2025-01,721,721,679,42,429,0.9417,0.595,1.0
2025-02,734,734,704,30,430,0.9591,0.5858,1.0
2025-03,665,665,641,24,392,0.9639,0.5895,1.0
2025-04,697,697,649,48,387,0.9311,0.5552,1.0
2025-05,830,830,803,27,492,0.9675,0.5928,1.0
2025-06,709,709,698,11,478,0.9845,0.6742,1.0
2025-07,738,738,718,20,483,0.9729,0.6545,1.0
2025-08,729,729,712,17,453,0.9767,0.6214,1.0
2025-09,782,782,745,37,488,0.9527,0.624,1.0
2025-10,733,733,704,29,430,0.9604,0.5866,1.0
2025-11,570,570,557,13,307,0.9772,0.5386,1.0
2025-12,456,456,443,13,288,0.9715,0.6316,1.0
2026-01,726,726,674,52,446,0.9284,0.6143,1.0
2026-02,613,613,581,32,329,0.9478,0.5367,1.0
2026-03,667,667,629,38,364,0.943,0.5457,1.0
2026-04,812,812,735,77,431,0.9052,0.5308,1.0
2026-05,795,778,647,131,430,0.8316,0.5527,0.98
2026-06,652,361,361,0,326,,,0.55
2026-07,59,19,19,0,19,,,0.32
