periodo,n_concluido,n_resuelto,n_vencido,n_en_plazo,tasa_respuesta,tasa_en_plazo
2022-01,607,602,5,408,0.9918,0.6722
2022-02,669,663,6,440,0.991,0.6577
2022-03,763,750,13,500,0.983,0.6553
2022-04,608,606,2,385,0.9967,0.6332
2022-05,742,738,4,490,0.9946,0.6604
2022-06,720,713,7,420,0.9903,0.5833
2022-07,987,978,9,724,0.9909,0.7335
2022-08,761,752,9,499,0.9882,0.6557
2022-09,924,902,22,585,0.9762,0.6331
2022-10,625,608,17,411,0.9728,0.6576
2022-11,750,733,17,495,0.9773,0.66
2022-12,596,587,9,337,0.9849,0.5654
2023-01,629,615,14,383,0.9777,0.6089
2023-02,518,503,15,333,0.971,0.6429
2023-03,758,744,14,523,0.9815,0.69
2023-04,870,852,18,586,0.9793,0.6736
2023-05,687,679,8,464,0.9884,0.6754
2023-06,607,587,20,418,0.9671,0.6886
2023-07,745,731,14,486,0.9812,0.6523
2023-08,602,588,14,423,0.9767,0.7027
2023-09,652,641,11,454,0.9831,0.6963
2023-10,591,578,13,400,0.978,0.6768
2023-11,812,798,14,550,0.9828,0.6773
2023-12,779,759,20,498,0.9743,0.6393
2024-01,666,644,22,444,0.967,0.6667
2024-02,622,604,18,385,0.9711,0.619
2024-03,706,695,11,528,0.9844,0.7479
2024-04,840,808,32,550,0.9619,0.6548
2024-05,1045,939,106,600,0.8986,0.5742
2024-06,776,753,23,484,0.9704,0.6237
2024-07,1066,1012,54,626,0.9493,0.5872
2024-08,1097,1048,49,554,0.9553,0.505
2024-09,1032,1008,24,581,0.9767,0.563
2024-10,908,832,76,548,0.9163,0.6035
2024-11,729,701,28,402,0.9616,0.5514
2024-12,659,638,21,362,0.9681,0.5493
2025-01,784,738,46,426,0.9413,0.5434
2025-02,763,715,48,455,0.9371,0.5963
2025-03,483,460,23,295,0.9524,0.6108
2025-04,743,708,35,417,0.9529,0.5612
2025-05,735,701,34,434,0.9537,0.5905
2025-06,653,633,20,389,0.9694,0.5957
2025-07,829,807,22,536,0.9735,0.6466
2025-08,641,617,24,362,0.9626,0.5647
2025-09,1022,889,133,596,0.8699,0.5832
2025-10,694,664,30,423,0.9568,0.6095
2025-11,580,563,17,313,0.9707,0.5397
2025-12,560,525,35,312,0.9375,0.5571
2026-01,766,728,38,437,0.9504,0.5705
2026-02,617,552,65,369,0.8947,0.5981
2026-03,684,646,38,362,0.9444,0.5292
2026-04,637,580,57,353,0.9105,0.5542
2026-05,922,830,92,473,0.9002,0.513
2026-06,1173,1058,115,655,0.902,0.5584
2026-07,1096,912,184,463,0.8321,0.4224
2026-08,993,855,138,469,0.861,0.4723
